"Date","Price","Open","High","Low","Vol.","Change %"
"03-11-2023","127.80","128.28","129.06","127.64","1.34M","0.13%"
"02-11-2023","127.64","127.38","129.34","126.54","1.50M","1.71%"
"01-11-2023","125.50","125.02","126.10","124.08","932.68K","0.43%"
"31-10-2023","124.96","124.06","125.28","123.12","1.08M","1.02%"
"30-10-2023","123.70","123.62","124.50","123.02","1.02M","1.05%"
"27-10-2023","122.42","121.68","122.76","120.74","1.59M","1.01%"
"26-10-2023","121.20","124.90","125.46","119.48","3.03M","-4.54%"
"25-10-2023","126.96","127.50","128.66","126.26","1.57M","-0.38%"
"24-10-2023","127.44","127.34","127.84","126.60","1.09M","-0.20%"
"23-10-2023","127.70","127.60","128.32","126.62","1.24M","0.46%"
"20-10-2023","127.12","128.38","128.50","126.90","2.00M","-2.11%"
"19-10-2023","129.86","128.96","130.40","128.64","997.15K","-0.41%"
"18-10-2023","130.40","132.26","132.26","129.04","1.77M","-2.66%"
"17-10-2023","133.96","133.60","134.98","132.54","866.08K","0.04%"
"16-10-2023","133.90","133.98","134.48","132.98","851.51K","0.31%"
"13-10-2023","133.48","136.70","136.82","133.48","1.31M","-2.31%"
"12-10-2023","136.64","138.88","139.34","136.46","1.01M","-1.16%"
"11-10-2023","138.24","136.76","138.46","136.36","1.26M","1.04%"
"10-10-2023","136.82","134.04","136.98","134.04","1.32M","3.09%"
"09-10-2023","132.72","133.66","134.10","131.92","837.45K","-1.44%"
"06-10-2023","134.66","132.50","134.68","132.50","1.23M","1.81%"
"05-10-2023","132.26","132.50","133.30","131.62","1.13M","-0.96%"
"04-10-2023","133.54","132.40","134.80","131.80","1.21M","0.33%"
"03-10-2023","133.10","133.46","134.74","132.98","1.12M","-1.00%"
"02-10-2023","134.44","136.50","136.94","133.68","1.04M","-0.90%"
"29-09-2023","135.66","136.04","137.72","135.66","1.57M","0.06%"
"28-09-2023","135.58","134.54","135.58","133.10","1.23M","1.03%"
"27-09-2023","134.20","129.82","135.32","129.66","2.05M","3.29%"
"26-09-2023","129.92","131.16","131.86","129.86","1.26M","-1.93%"
"25-09-2023","132.48","133.00","133.94","131.26","1.19M","-0.57%"
"22-09-2023","133.24","133.00","134.38","132.62","1.44M","-0.33%"
"21-09-2023","133.68","134.68","135.44","133.34","1.46M","-1.85%"
"20-09-2023","136.20","134.38","136.92","134.38","936.37K","1.23%"
"19-09-2023","134.54","136.76","136.82","134.16","908.35K","-1.92%"
