"Date","Price","Open","High","Low","Vol.","Change %"
"13-09-2024","200.650","199.000","200.950","198.020","1.66M","0.74%"
"12-09-2024","199.180","198.000","199.680","197.380","1.59M","2.45%"
"11-09-2024","194.420","193.380","195.440","191.620","1.68M","0.98%"
"10-09-2024","192.540","194.740","194.960","192.080","1.83M","-0.02%"
"09-09-2024","192.580","192.020","193.240","191.540","1.24M","0.98%"
"06-09-2024","190.720","190.820","193.700","190.040","1.56M","-0.38%"
"05-09-2024","191.440","193.520","195.120","190.740","1.07M","-1.11%"
"04-09-2024","193.580","194.280","195.800","192.740","1.49M","-2.33%"
"03-09-2024","198.200","199.860","201.050","198.040","1.39M","-0.83%"
"02-09-2024","199.860","198.260","199.860","197.240","844.70K","1.08%"
"30-08-2024","197.720","197.420","198.420","196.900","1.65M","-0.65%"
"29-08-2024","199.020","195.180","199.020","194.580","1.10M","1.96%"
"28-08-2024","195.200","196.720","197.660","195.140","887.71K","-0.03%"
"27-08-2024","195.260","194.180","195.260","192.860","842.99K","0.55%"
"26-08-2024","194.200","194.980","196.000","193.580","753.25K","-0.73%"
"23-08-2024","195.620","196.200","197.240","194.920","1.08M","-0.47%"
"22-08-2024","196.540","196.300","197.820","195.680","966.82K","0.02%"
"21-08-2024","196.500","196.680","197.580","195.800","818.79K","0.31%"
"20-08-2024","195.900","198.440","199.200","195.900","1.10M","-0.68%"
"19-08-2024","197.240","195.840","197.240","194.680","924.17K","0.22%"
"16-08-2024","196.800","195.500","197.680","195.500","1.40M","0.42%"
"15-08-2024","195.980","193.820","196.100","192.500","1.02M","2.03%"
"14-08-2024","192.080","192.000","192.880","190.940","765.83K","0.26%"
"13-08-2024","191.580","190.000","191.580","189.220","723.58K","1.20%"
"12-08-2024","189.300","190.180","190.720","188.100","874.02K","-0.33%"
"09-08-2024","189.920","188.220","189.980","187.640","1.00M","0.87%"
"08-08-2024","188.280","184.800","188.280","183.740","1.49M","0.16%"
"07-08-2024","187.980","185.940","188.480","185.720","1.63M","1.39%"
"06-08-2024","185.400","181.900","186.540","181.780","1.99M","2.31%"
"05-08-2024","181.220","179.640","182.220","176.720","2.79M","-2.65%"
"02-08-2024","186.160","189.000","189.800","185.240","2.11M","-2.77%"
"01-08-2024","191.460","196.000","196.440","191.460","1.44M","-1.83%"
"31-07-2024","195.020","191.580","195.160","191.400","1.55M","1.56%"
"30-07-2024","192.020","193.300","194.040","190.420","1.20M","-0.45%"
"29-07-2024","192.880","196.000","197.460","192.880","1.26M","-1.48%"
"26-07-2024","195.780","194.740","196.440","193.380","1.08M","0.29%"
"25-07-2024","195.220","192.500","195.840","191.440","1.79M","0.72%"
